date,item,Price,item_count
2019-01-03,Special_5_A,15.71,5
2019-01-03,Taco,6.14,7
2019-01-03,Coffee,5.89,8
2019-01-03,Salad,6.8,16
2019-01-03,Burger,11.91,9
2019-01-03,Salad,4.76,1
2019-01-03,Special_6_A,8.2,6
2019-01-03,Pasta,5.08,10
2019-01-03,Juice,7.03,13
2019-01-03,Taco,12.42,13
2019-01-03,Pizza,12.17,5
2019-01-03,Special_6_B,11.48,11
2019-01-03,Sushi,2.95,12
2019-01-03,Coffee,8.05,8
2019-01-04,Sandwich,10.74,11
2019-01-04,Soup,13.12,9
2019-01-04,Sushi,8.06,12
2019-01-04,Burger,6.84,5
2019-01-04,Juice,6.57,12
2019-01-04,Pizza,6.31,9
2019-01-04,Pasta,6.53,6
2019-01-04,Special_1_B,7.68,11
2019-01-04,Special_2_A,7.38,15
2019-01-04,Salad,11.45,6
2019-01-04,Juice,6.46,9
2019-01-04,Sandwich,11.17,8
2019-01-04,Sushi,10.71,17
2019-01-04,Burger,6.58,11
2019-01-04,Sushi,9.7,12
2019-01-04,Pasta,7.21,12
2019-01-04,Special_3_A,5.83,14
2019-01-04,Juice,8.21,7
2019-01-04,Sandwich,3.66,10
2019-01-04,Soup,9.5,7
2019-01-04,Special_4_A,8.59,12
2019-01-04,Taco,2.38,13
2019-01-04,Special_4_B,9.84,8
2019-01-04,Pasta,4.63,17
2019-01-04,Pasta,6.54,7
2019-01-04,Special_5_B,3.05,9
2019-01-04,Sandwich,11.61,14
2019-01-04,Burger,12.67,12
2019-01-04,Coffee,6.41,23
2019-01-04,Soup,4.85,14
2019-01-04,Sushi,13.11,19
2019-01-04,Salad,4.98,5
2019-01-04,Taco,11.53,13
2019-01-04,Coffee,10.69,12
2019-01-04,Juice,6.67,14
2019-01-04,Pizza,12.68,6
2019-01-04,Sushi,3.54,27
2019-01-05,Soup,12.79,14
2019-01-05,Pizza,8.5,14
2019-01-05,Pasta,7.38,15
2019-01-05,Burger,8.61,12
2019-01-05,Sandwich,9.4,16
2019-01-05,Sushi,7.95,18
2019-01-05,Special_1_A,9.29,10
2019-01-05,Juice,7.6,22
2019-01-05,Special_1_B,8.01,16
2019-01-05,Juice,6.68,16
2019-01-05,Salad,8.24,13
2019-01-05,Sushi,12.6,21
2019-01-05,Taco,13.23,20
2019-01-05,Taco,8.72,17
2019-01-05,Special_3_A,5.39,11
2019-01-05,Burger,6.01,11
2019-01-05,Soup,4.1,11
2019-01-05,Sushi,11.16,15
2019-01-05,Salad,10.39,12
2019-01-05,Special_3_B,9.02,5
2019-01-05,Pasta,6.6,20
2019-01-05,Sandwich,4.3,14
2019-01-05,Special_4_B,10.24,12
2019-01-05,Sushi,7.87,12
2019-01-05,Pasta,6.45,14
2019-01-05,Soup,4.83,22
2019-01-05,Sushi,13.71,3
2019-01-05,Salad,4.9,9
2019-01-05,Special_5_B,2.76,11
2019-01-05,Taco,6.77,11
2019-01-05,Juice,8.31,7
2019-01-05,Pizza,12.88,13
2019-01-05,Sushi,4.41,28
2019-01-05,Pasta,6.38,12
2019-01-05,Taco,11.68,24
2019-01-05,Salad,5.32,12
2019-01-06,Sushi,7.79,19
2019-01-06,Special_1_B,7.34,16
2019-01-06,Juice,9.14,13
2019-01-06,Burger,6.74,13
2019-01-06,Pizza,7.3,13
2019-01-06,Pasta,6.89,14
2019-01-06,Burger,5.4,11
2019-01-06,Salad,9.28,9
2019-01-06,Pasta,8.46,13
2019-01-06,Coffee,9.3,17
2019-01-06,Soup,7.61,6
2019-01-06,Sandwich,11.99,11
2019-01-06,Special_2_B,12.49,10
2019-01-06,Juice,9.19,7
2019-01-06,Burger,6.25,13
2019-01-06,Coffee,10.23,11
2019-01-06,Soup,4.8,13
2019-01-06,Pasta,7.29,18
2019-01-06,Taco,7.35,11
2019-01-06,Special_3_A,5.84,11
2019-01-06,Sushi,9.65,14
2019-01-06,Special_3_B,10.08,8
2019-01-06,Soup,8.95,8
2019-01-06,Pasta,5.9,27
2019-01-06,Taco,2.32,16
2019-01-06,Special_4_A,8.7,15
2019-01-06,Pizza,8.66,12
2019-01-06,Special_4_B,10.36,11
2019-01-06,Sushi,8.81,7
2019-01-06,Coffee,5.75,19
2019-01-06,Sandwich,12.67,11
2019-01-06,Special_5_B,3.47,20
2019-01-06,Special_5_A,18.87,8
2019-01-06,Juice,8.69,12
2019-01-06,Sushi,12.52,14
2019-01-06,Burger,10.26,4
2019-01-06,Salad,5.21,6
2019-01-06,Special_6_A,10.13,7
2019-01-06,Taco,9.47,17
2019-01-06,Sushi,3.55,26
2019-01-07,Special_1_B,7.02,10
2019-01-07,Sushi,7.68,9
2019-01-07,Sandwich,10.72,13
2019-01-07,Juice,8.14,11
2019-01-07,Pasta,7.2,11
2019-01-07,Taco,12.28,9
2019-01-07,Pasta,7.77,10
2019-01-07,Special_2_B,10.38,8
2019-01-07,Soup,9.07,17
2019-01-07,Sushi,11.46,19
2019-01-07,Sandwich,9.76,5
2019-01-07,Salad,9.37,6
2019-01-07,Special_2_A,6.25,23
2019-01-07,Coffee,10.25,20
2019-01-07,Burger,5.97,7
2019-01-07,Pasta,5.87,10
2019-01-07,Taco,8.46,13
2019-01-07,Special_3_A,7.62,12
2019-01-07,Special_4_A,7.52,12
2019-01-07,Taco,2.22,9
2019-01-07,Sandwich,3.2,4
2019-01-07,Special_4_B,9.82,7
2019-01-07,Pasta,5.43,7
2019-01-07,Salad,4.86,15
2019-01-07,Special_5_B,2.82,13
2019-01-07,Special_5_A,17.1,5
2019-01-07,Burger,11.58,11
2019-01-07,Sushi,16.16,11
2019-01-07,Sandwich,16.05,17
2019-01-07,Juice,8.78,10
2019-01-07,Salad,6.09,7
2019-01-07,Taco,5.74,9
2019-01-07,Taco,9.31,7
2019-01-07,Special_6_B,11.15,9
2019-01-07,Salad,5.24,3
2019-01-07,Sushi,3.11,9
2019-01-08,Special_1_A,9.03,9
2019-01-08,Soup,10.35,8
2019-01-08,Burger,7.72,10
2019-01-08,Juice,7.16,11
2019-01-08,Sandwich,9.52,15
2019-01-08,Special_1_B,7.1,9
2019-01-08,Juice,6.17,9
2019-01-08,Sandwich,10.62,12
2019-01-08,Special_2_B,12.3,6
2019-01-08,Burger,4.57,8
2019-01-08,Special_3_B,9.94,6
2019-01-08,Sushi,11.29,8
2019-01-08,Coffee,7.76,3
2019-01-08,Pasta,6.63,15
2019-01-08,Soup,5.08,10
2019-01-08,Salad,5.9,6
2019-01-08,Soup,10.02,8
2019-01-08,Sandwich,4.53,11
2019-01-08,Special_4_B,9.99,8
2019-01-08,Special_4_A,8.47,15
2019-01-08,Pasta,5.5,10
2019-01-08,Sandwich,13.59,9
2019-01-08,Special_5_A,17.5,8
2019-01-08,Salad,6.62,8
2019-01-08,Sushi,11.48,9
2019-01-08,Special_5_B,3.6,4
2019-01-08,Special_6_B,12.5,8
2019-01-08,Pasta,6.24,10
2019-01-08,Pizza,14.13,9
2019-01-08,Salad,4.6,3
2019-01-08,Taco,11.71,8
2019-01-08,Special_6_A,9.57,12
2019-01-08,Juice,8.16,9
2019-01-09,Juice,8.06,12
2019-01-09,Special_1_B,7.35,10
2019-01-09,Sandwich,11.07,17
2019-01-09,Sushi,8.84,18
2019-01-09,Special_1_A,9.62,9
2019-01-09,Pasta,6.68,7
2019-01-09,Soup,12.7,18
2019-01-09,Pizza,7.09,14
2019-01-09,Burger,9.13,8
2019-01-09,Coffee,11.08,25
2019-01-09,Salad,9.53,6
2019-01-09,Pizza,10.22,14
2019-01-09,Special_2_A,7.09,19
2019-01-09,Sandwich,11.79,13
2019-01-09,Taco,10.53,11
2019-01-09,Sushi,12.16,17
2019-01-09,Special_2_B,13.17,11
2019-01-09,Burger,4.91,8
2019-01-09,Taco,9.4,19
2019-01-09,Burger,6.75,13
2019-01-09,Special_3_A,5.47,11
2019-01-09,Salad,9.79,6
2019-01-09,Sushi,10.6,8
2019-01-09,Juice,9.33,5
2019-01-09,Special_3_B,9.51,6
2019-01-09,Soup,4.35,10
2019-01-09,Coffee,8.76,6
2019-01-09,Special_4_B,10.61,14
2019-01-09,Sushi,9.14,4
2019-01-09,Soup,8.98,11
2019-01-09,Taco,2.22,9
2019-01-09,Sandwich,3.8,6
2019-01-09,Pizza,8.16,8
2019-01-09,Special_4_A,8.9,15
2019-01-09,Pasta,6.62,9
2019-01-09,Salad,5.03,4
2019-01-09,Special_5_B,3.41,3
2019-01-09,Coffee,5.98,7
2019-01-09,Special_5_A,17.65,8
2019-01-09,Burger,12.98,11
2019-01-09,Salad,5.77,9
2019-01-09,Taco,6.9,9
2019-01-09,Soup,4.13,14
2019-01-09,Sandwich,14.02,16
2019-01-09,Sushi,3.67,11
2019-01-09,Coffee,9.74,2
2019-01-09,Pizza,12.47,6
2019-01-09,Taco,10.05,20
2019-01-09,Juice,7.31,7
2019-01-10,Soup,10.78,12
2019-01-10,Sushi,9.28,15
2019-01-10,Special_1_B,7.13,11
2019-01-10,Juice,6.89,9
2019-01-10,Sandwich,9.66,8
2019-01-10,Burger,5.12,15
2019-01-10,Special_2_A,6.63,15
2019-01-10,Juice,7.89,9
2019-01-10,Sandwich,11.82,6
2019-01-10,Burger,6.1,10
2019-01-10,Salad,10.21,20
2019-01-10,Soup,4.68,10
2019-01-10,Juice,9.29,8
2019-01-10,Sushi,9.17,7
2019-01-10,Pasta,6.11,18
2019-01-10,Coffee,11.06,9
2019-01-10,Special_3_A,6.56,5
2019-01-10,Taco,2.54,21
2019-01-10,Salad,6.85,5
2019-01-10,Special_4_A,8.7,9
2019-01-10,Soup,10.03,6
2019-01-10,Sandwich,3.84,13
2019-01-10,Pasta,6.62,8
2019-01-10,Sushi,8.94,5
2019-01-10,Special_4_B,10.27,12
2019-01-10,Coffee,6.11,6
2019-01-10,Special_5_A,14.66,10
2019-01-10,Sandwich,11.97,13
2019-01-10,Pasta,5.65,11
2019-01-10,Burger,10.13,10
2019-01-10,Juice,6.74,10
2019-01-10,Salad,4.84,4
2019-01-10,Taco,13.46,16
2019-01-10,Pasta,5.01,9
2019-01-10,Pizza,12.28,8
2019-01-11,Sushi,7.53,19
2019-01-11,Soup,11.08,17
2019-01-11,Pasta,7.25,11
2019-01-11,Sandwich,10.51,16
2019-01-11,Burger,7.26,7
2019-01-11,Pizza,6.78,13
2019-01-11,Juice,7.63,16
2019-01-11,Special_1_A,9.54,19
2019-01-11,Coffee,9.32,19
2019-01-11,Sushi,11.89,16
2019-01-11,Special_2_B,12.43,7
2019-01-11,Soup,8.03,13
2019-01-11,Special_3_B,8.0,3
2019-01-11,Soup,4.59,9
2019-01-11,Pasta,5.97,20
2019-01-11,Taco,8.02,9
2019-01-11,Special_3_A,6.16,10
2019-01-11,Burger,6.53,10
2019-01-11,Salad,9.9,13
2019-01-11,Juice,9.05,7
2019-01-11,Coffee,8.99,12
2019-01-11,Special_4_B,9.38,11
2019-01-11,Soup,7.44,14
2019-01-11,Salad,5.84,7
2019-01-11,Sushi,8.57,16
2019-01-11,Pasta,5.9,10
2019-01-11,Special_4_A,9.33,9
2019-01-11,Taco,2.28,8
2019-01-11,Sushi,14.91,9
2019-01-11,Burger,11.67,15
2019-01-11,Pasta,7.17,14
2019-01-11,Juice,9.75,10
2019-01-11,Soup,4.63,13
2019-01-11,Coffee,6.28,10
2019-01-11,Salad,5.02,10
2019-01-11,Coffee,9.86,6
2019-01-11,Taco,9.52,11
2019-01-11,Pizza,13.56,12
2019-01-11,Juice,6.29,11
2019-01-11,Special_6_B,11.42,11
2019-01-11,Sushi,3.89,22
2019-01-11,Pasta,6.21,7
2019-01-11,Special_6_A,10.0,4
2019-01-12,Special_1_A,8.71,12
2019-01-12,Sushi,8.37,17
2019-01-12,Soup,14.39,19
2019-01-12,Burger,8.07,8
2019-01-12,Sandwich,10.99,10
2019-01-12,Pasta,6.38,5
2019-01-12,Special_1_B,7.61,6
2019-01-12,Pizza,6.72,12
2019-01-12,Special_2_A,6.55,18
2019-01-12,Juice,7.19,13
2019-01-12,Salad,9.23,11
2019-01-12,Pizza,8.15,19
2019-01-12,Sandwich,9.93,7
2019-01-12,Soup,7.87,15
2019-01-12,Coffee,10.9,20
2019-01-12,Taco,10.62,9
2019-01-12,Taco,7.8,26
2019-01-12,Special_3_B,9.81,2
2019-01-12,Salad,9.92,17
2019-01-12,Special_3_A,6.36,12
2019-01-12,Sushi,10.15,16
2019-01-12,Burger,6.53,13
2019-01-12,Soup,9.1,18
2019-01-12,Sushi,7.25,12
2019-01-12,Salad,6.12,9
2019-01-12,Special_4_B,10.19,13
2019-01-12,Pasta,6.3,17
2019-01-12,Pizza,9.68,12
2019-01-12,Special_4_A,9.13,14
2019-01-12,Taco,5.14,12
2019-01-12,Soup,5.33,11
2019-01-12,Coffee,5.5,15
2019-01-12,Sandwich,12.91,22
2019-01-12,Salad,6.09,12
2019-01-12,Special_5_A,16.89,15
2019-01-12,Juice,9.1,12
2019-01-12,Special_5_B,3.26,10
2019-01-12,Taco,11.06,17
2019-01-12,Salad,5.38,5
2019-01-12,Special_6_B,11.64,10
2019-01-12,Pizza,10.99,12
2019-01-12,Juice,7.21,7
2019-01-12,Special_6_A,8.69,9
2019-01-12,Sushi,4.13,12
2019-01-12,Coffee,9.51,3
2019-01-12,Pasta,4.84,10
2019-01-13,Pizza,7.17,13
2019-01-13,Sandwich,9.2,12
2019-01-13,Burger,7.48,7
2019-01-13,Special_1_B,7.1,19
2019-01-13,Special_2_A,5.77,13
2019-01-13,Soup,8.72,20
2019-01-13,Taco,11.59,19
2019-01-13,Sushi,11.75,16
2019-01-13,Special_3_A,5.86,15
2019-01-13,Coffee,9.54,18
2019-01-13,Burger,6.21,19
2019-01-13,Taco,7.46,12
2019-01-13,Special_3_B,9.09,7
2019-01-13,Pizza,9.39,12
2019-01-13,Special_4_B,10.6,13
2019-01-13,Sushi,9.23,8
2019-01-13,Special_4_A,8.11,15
2019-01-13,Taco,2.64,9
2019-01-13,Salad,5.62,8
2019-01-13,Burger,10.62,16
2019-01-13,Soup,4.89,12
2019-01-13,Sandwich,12.63,20
2019-01-13,Sushi,13.02,18
2019-01-13,Salad,6.16,11
2019-01-13,Pasta,6.42,14
2019-01-13,Taco,6.35,14
2019-01-13,Coffee,10.29,6
2019-01-13,Salad,5.14,16
2019-01-13,Special_6_B,12.11,14
2019-01-13,Pasta,6.64,16
2019-01-13,Juice,7.75,8
2019-01-13,Special_6_A,9.97,6
2019-01-13,Taco,10.25,16
2019-01-13,Pizza,12.78,5
2019-01-14,Special_1_A,8.43,8
2019-01-14,Sushi,8.67,6
2019-01-14,Sandwich,12.72,15
2019-01-14,Pizza,7.41,5
2019-01-14,Soup,10.88,20
2019-01-14,Burger,7.78,12
2019-01-14,Juice,7.54,12
2019-01-14,Sandwich,9.88,4
2019-01-14,Coffee,8.54,13
2019-01-14,Special_2_A,8.12,13
2019-01-14,Burger,5.85,7
2019-01-14,Salad,10.9,4
2019-01-14,Pizza,10.74,21
2019-01-14,Taco,12.06,9
2019-01-14,Pasta,10.34,6
2019-01-14,Coffee,11.48,12
2019-01-14,Sushi,9.34,14
2019-01-14,Special_3_B,9.19,5
2019-01-14,Pasta,6.88,9
2019-01-14,Salad,11.32,9
2019-01-14,Sandwich,3.8,10
2019-01-14,Pizza,8.91,8
2019-01-14,Salad,5.72,7
2019-01-14,Pasta,6.78,18
2019-01-14,Pasta,6.55,9
2019-01-14,Salad,5.31,6
2019-01-14,Burger,10.59,13
2019-01-14,Taco,5.83,7
2019-01-14,Special_5_A,14.54,4
2019-01-14,Taco,10.35,14
2019-01-14,Coffee,10.9,8
2019-01-14,Juice,6.51,7
2019-01-14,Special_6_B,11.24,16
2019-01-14,Pasta,6.43,6
2019-01-14,Pizza,13.88,12
2019-01-14,Special_6_A,10.07,4
2019-01-14,Sushi,3.61,10
2019-01-15,Pasta,6.93,13
2019-01-15,Juice,7.47,9
2019-01-15,Sushi,9.94,20
2019-01-15,Special_1_B,8.67,14
2019-01-15,Burger,7.04,10
2019-01-15,Soup,12.69,10
2019-01-15,Sandwich,9.07,17
2019-01-15,Pizza,8.34,12
2019-01-15,Pasta,10.02,4
2019-01-15,Burger,5.44,10
2019-01-15,Taco,9.53,11
2019-01-15,Juice,7.23,6
2019-01-15,Special_2_B,11.93,6
2019-01-15,Sushi,11.34,14
2019-01-15,Special_2_A,4.98,16
2019-01-15,Juice,9.07,13
2019-01-15,Soup,4.55,7
2019-01-15,Burger,7.66,11
2019-01-15,Taco,8.52,9
2019-01-15,Pasta,6.23,4
2019-01-15,Taco,2.2,9
2019-01-15,Sandwich,4.07,6
2019-01-15,Special_4_A,8.56,6
2019-01-15,Sushi,7.99,9
2019-01-15,Soup,4.56,9
2019-01-15,Pasta,6.06,10
2019-01-15,Coffee,6.07,13
2019-01-15,Sushi,12.85,7
2019-01-15,Juice,9.59,9
2019-01-15,Burger,11.88,18
2019-01-15,Special_5_A,17.4,9
2019-01-15,Taco,11.82,14
2019-01-15,Special_6_A,10.55,5
2019-01-15,Pizza,12.52,7
2019-01-15,Special_6_B,11.59,14
2019-01-15,Juice,7.83,9
2019-01-15,Coffee,10.58,7
2019-01-15,Salad,5.46,5
2019-01-16,Soup,12.3,7
2019-01-16,Special_1_A,8.44,10
2019-01-16,Pasta,7.56,15
2019-01-16,Sandwich,11.74,11
2019-01-16,Sushi,7.98,17
2019-01-16,Pizza,7.51,8
2019-01-16,Juice,6.76,12
2019-01-16,Burger,5.03,14
2019-01-16,Soup,7.13,12
2019-01-16,Juice,6.42,7
2019-01-16,Sandwich,10.94,2
2019-01-16,Pizza,10.57,8
2019-01-16,Pasta,8.64,11
2019-01-16,Coffee,10.99,11
2019-01-16,Salad,8.58,4
2019-01-16,Juice,8.37,5
2019-01-16,Pasta,7.19,13
2019-01-16,Coffee,9.31,14
2019-01-16,Soup,4.42,9
2019-01-16,Special_3_A,5.79,8
2019-01-16,Burger,6.41,8
2019-01-16,Taco,8.15,10
2019-01-16,Sandwich,3.73,10
2019-01-16,Pasta,6.36,11
2019-01-16,Sushi,9.13,12
2019-01-16,Soup,9.68,6
2019-01-16,Special_4_B,9.59,12
2019-01-16,Special_4_A,9.12,13
2019-01-16,Burger,12.21,10
2019-01-16,Sushi,13.0,9
2019-01-16,Taco,6.68,12
2019-01-16,Special_5_B,3.29,8
2019-01-16,Salad,5.48,8
2019-01-16,Pasta,7.04,4
2019-01-16,Sandwich,13.04,13
2019-01-16,Special_5_A,16.75,4
2019-01-16,Coffee,5.53,12
2019-01-16,Pasta,5.8,7
2019-01-16,Sushi,3.33,8
2019-01-16,Salad,5.94,5
2019-01-16,Special_6_B,13.62,6
2019-01-16,Coffee,11.18,1
2019-01-16,Special_6_A,9.21,8
2019-01-16,Taco,10.89,13
2019-01-17,Sandwich,10.76,15
2019-01-17,Juice,8.08,10
2019-01-17,Special_1_B,7.98,12
2019-01-17,Burger,7.87,7
2019-01-17,Special_1_A,9.84,12
2019-01-17,Soup,11.81,14
2019-01-17,Pizza,5.88,5
2019-01-17,Pasta,7.85,7
2019-01-17,Sushi,8.79,12
2019-01-17,Taco,10.27,9
2019-01-17,Soup,7.51,6
2019-01-17,Special_2_B,10.59,9
2019-01-17,Special_2_A,6.93,17
2019-01-17,Taco,8.79,17
2019-01-17,Salad,11.64,12
2019-01-17,Juice,11.39,9
2019-01-17,Coffee,11.9,12
2019-01-17,Burger,6.6,8
2019-01-17,Soup,4.26,9
2019-01-17,Sushi,8.53,4
2019-01-17,Special_4_B,10.45,8
2019-01-17,Pasta,6.65,13
2019-01-17,Special_4_A,7.85,18
2019-01-17,Soup,9.74,10
2019-01-17,Sandwich,4.46,8
2019-01-17,Taco,2.39,12
2019-01-17,Pizza,9.61,14
2019-01-17,Sushi,13.32,15
2019-01-17,Coffee,5.37,7
2019-01-17,Juice,11.14,12
2019-01-17,Soup,4.84,11
2019-01-17,Sandwich,13.04,17
2019-01-17,Special_6_A,10.3,5
2019-01-17,Sushi,4.04,12
2019-01-17,Taco,11.77,13
2019-01-17,Coffee,9.59,9
2019-01-18,Sushi,9.03,18
2019-01-18,Sandwich,9.94,17
2019-01-18,Juice,7.3,9
2019-01-18,Special_1_B,7.77,10
2019-01-18,Soup,11.71,16
2019-01-18,Pasta,7.59,18
2019-01-18,Pizza,7.8,15
2019-01-18,Burger,7.15,10
2019-01-18,Sushi,12.08,19
2019-01-18,Special_2_B,10.63,7
2019-01-18,Juice,7.87,12
2019-01-18,Soup,7.81,7
2019-01-18,Salad,10.15,4
2019-01-18,Special_2_A,5.97,15
2019-01-18,Taco,10.37,19
2019-01-18,Special_3_A,6.54,12
2019-01-18,Burger,6.72,10
2019-01-18,Sushi,10.33,10
2019-01-18,Pasta,6.74,9
2019-01-18,Taco,9.02,10
2019-01-18,Soup,4.58,11
2019-01-18,Juice,9.04,10
2019-01-18,Coffee,10.57,16
2019-01-18,Salad,12.28,14
2019-01-18,Special_4_B,9.13,15
2019-01-18,Taco,2.01,12
2019-01-18,Sandwich,3.65,14
2019-01-18,Salad,5.57,7
2019-01-18,Pizza,9.22,14
2019-01-18,Sushi,8.26,15
2019-01-18,Pasta,6.56,21
2019-01-18,Special_4_A,8.39,14
2019-01-18,Juice,9.91,10
2019-01-18,Coffee,5.61,14
2019-01-18,Sandwich,13.25,21
2019-01-18,Burger,11.39,17
2019-01-18,Soup,4.71,21
2019-01-18,Special_5_A,19.2,11
2019-01-18,Pasta,6.56,9
2019-01-18,Sushi,13.11,11
2019-01-18,Special_5_B,3.31,10
2019-01-18,Coffee,10.36,9
2019-01-18,Sushi,3.91,19
2019-01-18,Special_6_A,10.35,17
2019-01-18,Pizza,13.87,4
2019-01-18,Taco,12.29,14
2019-01-18,Special_6_B,9.6,11
2019-01-18,Juice,7.23,8
2019-01-18,Salad,6.34,5
2019-01-18,Pasta,6.64,9
2019-01-19,Sushi,7.89,15
2019-01-19,Pizza,7.21,10
2019-01-19,Pasta,8.52,16
2019-01-19,Burger,8.09,7
2019-01-19,Juice,7.47,15
2019-01-19,Salad,9.69,7
2019-01-19,Juice,6.44,7
2019-01-19,Taco,13.13,18
2019-01-19,Burger,5.49,13
2019-01-19,Pasta,8.95,25
2019-01-19,Soup,8.96,15
2019-01-19,Sandwich,11.87,11
2019-01-19,Sushi,9.65,13
2019-01-19,Coffee,11.52,12
2019-01-19,Special_3_A,6.17,21
2019-01-19,Juice,10.39,11
2019-01-19,Soup,9.57,12
2019-01-19,Pizza,10.19,20
2019-01-19,Sushi,9.73,10
2019-01-19,Pasta,6.92,18
2019-01-19,Taco,2.41,5
2019-01-19,Special_4_B,9.91,15
2019-01-19,Salad,5.05,16
2019-01-19,Special_4_A,8.76,22
2019-01-19,Sandwich,3.26,12
2019-01-19,Sushi,13.79,8
2019-01-19,Pasta,6.16,14
2019-01-19,Coffee,5.96,14
2019-01-19,Taco,5.47,13
2019-01-19,Special_5_B,3.42,8
2019-01-19,Taco,11.2,27
2019-01-19,Pizza,12.4,2
2019-01-19,Special_6_A,9.64,5
2019-01-19,Coffee,9.99,7
2019-01-19,Sushi,3.62,12
2019-01-19,Pasta,5.77,14
2019-01-19,Juice,6.82,15
2019-01-19,Special_6_B,11.57,13
2019-01-19,Salad,4.99,11
2019-01-20,Sushi,8.59,17
2019-01-20,Special_1_B,7.31,15
2019-01-20,Pasta,6.7,14
2019-01-20,Burger,8.24,8
2019-01-20,Juice,7.26,12
2019-01-20,Sandwich,11.72,23
2019-01-20,Pizza,8.37,24
2019-01-20,Coffee,9.84,19
2019-01-20,Special_2_B,9.88,10
2019-01-20,Sandwich,9.31,8
2019-01-20,Burger,5.73,11
2019-01-20,Taco,10.73,18
2019-01-20,Sushi,12.6,24
2019-01-20,Pasta,8.76,10
2019-01-20,Salad,11.37,2
2019-01-20,Special_3_A,6.71,11
2019-01-20,Soup,3.97,10
2019-01-20,Taco,8.72,29
2019-01-20,Juice,8.31,7
2019-01-20,Taco,2.21,9
2019-01-20,Soup,11.46,6
2019-01-20,Special_4_B,9.68,19
2019-01-20,Pasta,6.03,21
2019-01-20,Pizza,7.39,19
2019-01-20,Sushi,8.99,11
2019-01-20,Special_4_A,8.34,21
2019-01-20,Salad,5.32,15
